ZIP,latitude,longitude,city,state,county,population_2010,population_2020
87514,36.52,-105.534,Arroyo Seco,NM,Taos,1345,1748
87515,36.4795,-106.4378,Canjilon,NM,Rio Arriba,311,279
87516,36.1814,-106.4376,Canones,NM,Rio Arriba,130,132
87517,36.3645,-105.7653,Carson,NM,Taos,356,460
87518,36.4654,-106.5785,Cebolla,NM,Rio Arriba,91,103
87519,36.7539,-105.6128,Cerro,NM,Taos,460,399
87520,36.8962,-106.5829,Chama,NM,Rio Arriba,1419,1448
87521,36.1311,-105.7385,Chamisal,NM,Taos,1003,899
87522,36.0039,-105.947,Chimayo,NM,Rio Arriba,3384,3463
87523,36.0072,-105.8606,Cordova,NM,Rio Arriba,405,380
87524,36.9324,-105.6723,Costilla,NM,Taos,260,203
87525,36.596,-105.4545,Taos Ski Valley,NM,Taos,72,91
87527,36.179,-105.8615,Dixon,NM,Rio Arriba,880,990
87528,36.8598,-107.0602,Dulce,NM,Rio Arriba,3417,3641
87529,36.4317,-105.5747,El Prado,NM,Taos,3600,4846
87530,36.3647,-106.2192,El Rito,NM,Rio Arriba,974,916
87531,36.2153,-105.8901,Embudo,NM,Rio Arriba,368,310
87532,35.9872,-106.0717,Espanola,NM,Rio Arriba,18223,19017
87535,35.5288,-105.7477,Glorieta,NM,Santa Fe,1270,1350
87537,36.0738,-106.1396,Hernandez,NM,Rio Arriba,2957,2486
87538,35.4212,-105.5589,Ilfeld,NM,San Miguel,493,439
87539,36.4654,-106.5785,La Madera,NM,Rio Arriba,269,287
87540,35.4311,-105.9409,Lamy,NM,Santa Fe,923,1052
87543,36.14,-105.6817,Llano,NM,Taos,247,251
87544,35.8663,-106.2676,Los Alamos,NM,Los Alamos,17950,13548
87548,36.1756,-106.1834,Medanales,NM,Rio Arriba,928,650
87549,36.3313,-106.0028,Ojo Caliente,NM,Taos,1118,1216
87551,36.7292,-106.57,Los Ojos,NM,Rio Arriba,305,347
87552,35.571,-105.6701,Pecos,NM,San Miguel,3325,3308
87553,36.1763,-105.7105,Penasco,NM,Taos,1209,1023
87554,36.5084,-106.0106,Petaca,NM,Rio Arriba,61,45
87556,36.7039,-105.595,Questa,NM,Taos,2417,2259
87557,36.3357,-105.6086,Ranchos De Taos,NM,Taos,6359,6481
87558,36.6659,-105.4694,Red River,NM,Taos,606,724
87560,35.3344,-105.4652,Ribera,NM,San Miguel,1445,1202
87562,35.4917,-105.6753,Rowe,NM,San Miguel,576,505
87564,36.6116,-105.636,San Cristobal,NM,Taos,332,389
87565,35.4569,-105.4383,San Jose,NM,San Miguel,478,317
87566,36.0508,-106.069,Ohkay Owingeh,NM,Rio Arriba,3000,3377
87567,35.986,-106.0318,Santa Cruz,NM,Santa Fe,1634,1270
87569,35.3975,-105.3236,Serafina,NM,San Miguel,442,340
87571,36.3953,-105.5847,Taos,NM,Taos,11706,11650
87573,35.7727,-105.6713,Tererro,NM,San Miguel,36,79
87575,36.6805,-106.557,Tierra Amarilla,NM,Rio Arriba,789,618
87577,36.647,-105.9672,Tres Piedras,NM,Taos,454,546
87578,36.0444,-105.8129,Truchas,NM,Rio Arriba,611,531
87579,36.1338,-105.5712,Vadito,NM,Taos,890,795
87580,36.5701,-105.5658,Valdez,NM,Taos,449,453
87581,36.5286,-106.1448,Vallecitos,NM,Rio Arriba,141,85
87582,36.1589,-105.9747,Velarde,NM,Rio Arriba,1350,1432
87583,35.2667,-105.3608,Villanueva,NM,San Miguel,234,245
87701,35.5949,-105.2272,Las Vegas,NM,San Miguel,20081,18387
87710,36.3849,-105.2439,Angel Fire,NM,Colfax,1768,1616
87711,35.2001,-105.1422,Anton Chico,NM,Guadalupe,753,590
87712,35.9136,-105.2492,Buena Vista,NM,Mora,283,232
87713,36.1388,-105.3854,Chacon,NM,Mora,283,223
87714,36.4574,-105.0697,Cimarron,NM,Colfax,1151,917
87715,35.9898,-105.4326,Cleveland,NM,Mora,532,636
87718,36.5326,-105.2756,Eagle Nest,NM,Colfax,467,642
87722,36.1375,-105.2386,Guadalupita,NM,Mora,376,535
87723,36.0384,-105.3836,Holman,NM,Mora,408,294
87724,35.1734,-105.0775,La Loma,NM,Guadalupe,88,98
87728,36.5434,-104.564,Maxwell,NM,Colfax,417,379
87729,36.35,-104.7931,Miami,NM,Colfax,126,78
87730,36.1281,-104.2277,Mills,NM,Harding,27,42
87731,35.6523,-105.2764,Montezuma,NM,San Miguel,223,437
87732,35.9742,-105.33,Mora,NM,Mora,1672,1064
87733,35.8041,-103.9021,Mosquero,NM,Harding,158,138
87734,36.1037,-105.066,Ocate,NM,Mora,181,148
87735,36.0578,-105.1183,Ojo Feliz,NM,Mora,90,52
87736,35.9786,-105.2092,Rainsville,NM,Mora,233,269
87740,36.8952,-104.4349,Raton,NM,Colfax,8068,7138
87742,35.8226,-105.3147,Rociada,NM,San Miguel,609,497
87743,35.9522,-104.1497,Roy,NM,Harding,361,312
87745,35.762,-105.1077,Sapello,NM,San Miguel,654,714
87746,35.8484,-104.0675,Solano,NM,Harding,120,126
87747,36.3767,-104.5927,Springer,NM,Colfax,1624,1516
87749,36.5581,-105.115,Ute Park,NM,Colfax,75,67
87750,35.8164,-104.9231,Valmora,NM,Mora,11,8
87752,35.9814,-104.691,Wagon Mound,NM,Mora,431,378
87753,35.7906,-104.9817,Watrous,NM,Mora,254,182
